"Model","Y_feature","Site_Effect","Complexity","BIC","AIC"
"m1c","B5 Band Relative Power","none","smooth_mean_var",-2353.76119858778,-2406.66648137802
"m1d","B5 Band Relative Power","none","shash_constant",-2393.91653819349,-2457.49150225768
"m1e","B5 Band Relative Power","none","shash_full",-2398.6310023833,-2482.29464667864
"m2a","B5 Band Relative Power","fixed","linear",-2223.51051091664,-2241.20349877078
"m2b","B5 Band Relative Power","fixed","smooth_mean",-2346.87871007039,-2388.60823269617
"m2c","B5 Band Relative Power","fixed","smooth_mean_var",-2381.80875179699,-2445.86952925545
"m2d","B5 Band Relative Power","fixed","shash_constant",-2405.13696910653,-2477.93653489515
"m2e","B5 Band Relative Power","fixed","shash_full",-2411.58399928488,-2519.02461570921
"m3a","B5 Band Relative Power","random","linear",-2224.7727983872,-2241.4357170115
"m3b","B5 Band Relative Power","random","smooth_mean",-2352.88658640118,-2390.47563270268
"m3c","B5 Band Relative Power","random","smooth_mean_var",-2383.79723804956,-2445.9052917496
"m3d","B5 Band Relative Power","random","shash_constant",-2409.35605307952,-2478.19919499976
"m3e","B5 Band Relative Power","random","shash_full",-2416.83065111315,-2509.56860517435
"m1a","B6 Band Relative Power","none","linear",-2394.47283414934,-2407.74257503995
"m1b","B6 Band Relative Power","none","smooth_mean",-2475.52919746732,-2504.46153239554
"m1c","B6 Band Relative Power","none","smooth_mean_var",-2535.5932220569,-2595.17102319588
"m1d","B6 Band Relative Power","none","shash_constant",-2825.35808762605,-2894.822393323
"m1e","B6 Band Relative Power","none","shash_full",-2861.28899961802,-2966.18858512247
"m2a","B6 Band Relative Power","fixed","linear",-2519.60090302275,-2537.29389087688
"m2b","B6 Band Relative Power","fixed","smooth_mean",-2733.28946237068,-2772.81953168008
"m2c","B6 Band Relative Power","fixed","smooth_mean_var",-2937.96756839175,-3014.314755053
"m2d","B6 Band Relative Power","fixed","shash_constant",-3095.08236193762,-3163.24708394458
"m2e","B6 Band Relative Power","fixed","shash_full",-3079.66216271403,-3189.03180677248
"m3a","B6 Band Relative Power","random","linear",-2519.63789237329,-2537.30070999113
"m3b","B6 Band Relative Power","random","smooth_mean",-2733.29712560731,-2772.81384296383
"m3c","B6 Band Relative Power","random","smooth_mean_var",-2938.0409017866,-3014.29644549614
"m3d","B6 Band Relative Power","random","shash_constant",-3081.72292720416,-3157.24102995131
"m3e","B6 Band Relative Power","random","shash_full",-3067.51729129405,-3179.11463780737
